"filename", "language", "JSON", "PHP", "CSS", "JavaScript", "XML", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\package-lock.json", "JSON", 2187, 0, 0, 0, 0, 0, 0, 0, 1, 2188
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 2, 1, 32
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\css\bootstrap.css", "CSS", 0, 0, 9050, 0, 0, 0, 0, 7, 1204, 10261
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\css\dataTables.bootstrap4.min.css", "CSS", 0, 0, 332, 0, 0, 0, 0, 0, 1, 333
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\css\vertical-layout-light\style.css", "CSS", 0, 0, 26967, 0, 0, 0, 0, 240, 3389, 30596
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\dashboard\people.svg", "XML", 0, 0, 0, 0, 161, 0, 0, 0, 1, 162
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\dashboard\people11.svg", "XML", 0, 0, 0, 0, 149, 0, 0, 0, 1, 150
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\dashboard\shape-1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\dashboard\shape-2.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\dashboard\shape-3.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\dashboard\shape-4.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\logo-light.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\logo-mini.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\logo-white.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\logo1.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\images\wavepad.svg", "XML", 0, 0, 0, 0, 87, 0, 0, 1, 1, 89
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\Chart.roundedBarCharts.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 25, 22, 172
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\ace.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\alerts.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 1, 5, 102
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\avgrund.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\bootstrap-table.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\bt-maxLength.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\c3.js", "JavaScript", 0, 0, 0, 205, 0, 0, 0, 1, 12, 218
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\calendar.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 73
